station,location,date,time,Latitude,Longitude,ch_in_lab,ch_in_situ
M1,Manicouagan,2023-07-05,12:58:00,49.19458296149969,-68.1790510006249,0.46,No_Values
M2,Manicouagan,2023-07-05,13:10:00,49.1966459993273,-68.14950001426041,0.68,1.35
M3,Manicouagan,2023-07-05,13:20:00,49.204686004668474,-68.12861298210919,0.97,1.62
M4,Manicouagan,2023-07-05,13:31:00,49.214616967365146,-68.10360498726368,1.35,1.31
M5,Manicouagan,2023-07-05,13:44:00,49.20270200818777,-68.08235803619027,1.53,1.85
M6,Manicouagan,2023-07-05,13:51:00,49.18387901969254,-68.07928497903049,0.99,1.02
M7,Manicouagan,2023-07-05,14:02:00,49.16000903584063,-68.09408599510789,0.58,1.2
M8,Manicouagan,2023-07-05,14:11:00,49.13182203657925,-68.1102319713682,2.2,1.92
M9,Manicouagan,2023-07-05,14:19:00,49.142618011683226,-68.13434603624046,1.44,1.64
M10,Manicouagan,2023-07-05,14:27:00,49.153682962059975,-68.15654198639095,1.22,1.32
M11,Manicouagan,2023-07-05,14:37:00,49.16531100869179,-68.19138295948505,1.86,1.69
M12,Manicouagan,2023-07-05,14:48:00,49.17200395837426,-68.16376802511513,0.92,1.82
M13,Manicouagan,2023-07-05,15:00:00,49.164980007335544,-68.12801803462207,1.46,1.9
M14,Manicouagan,2023-07-05,15:10:00,49.17864301241934,-68.11520696617663,0.79,1.2
M15,Manicouagan,2023-07-05,15:22:00,49.1975889634341,-68.10748203657568,1.39,1.49
M16,Manicouagan,2023-07-06,14:24:00,49.14163498207927,-68.12991997227073,1.77,2.2
M17,Manicouagan,2023-07-06,14:35:00,49.150028033182025,-68.14837700687349,1.6,1.62
M18,Manicouagan,2023-07-06,14:43:00,49.15785698220134,-68.16577498801053,1.63,1.65
M19,Manicouagan,2023-07-06,14:52:00,49.16433401405811,-68.18349701352417,0.8,1.47
M20,Manicouagan,2023-07-06,15:00:00,49.172162963077426,-68.20097596384585,0.9,2.28
M21,Manicouagan,2023-07-06,15:07:00,49.18581297621131,-68.1986440345645,0.88,1.56
M22,Manicouagan,2023-07-06,15:15:00,49.1923719830811,-68.18033502437174,0.93,0.9
M23,Manicouagan,2023-07-06,15:29:00,49.18961903080344,-68.16079596988857,1.14,1.3
M24,Manicouagan,2023-07-06,15:40:00,49.19565903022885,-68.13819902949035,1.4,1.6
M25,Manicouagan,2023-07-06,15:52:00,49.18350602500141,-68.12463300302625,4.32,2.48
M26,Manicouagan,2023-07-06,16:06:00,49.17053704150021,-68.1195480376482,5.16,3.1
M27,Manicouagan,2023-07-06,16:18:00,49.16033098474145,-68.13669799827039,6.07,3.6
M28,Manicouagan,2023-07-06,16:28:00,49.16905797086656,-68.15498001873493,3.51,3.15
M29,Manicouagan,2023-07-06,16:38:00,49.18241998180747,-68.15445698797703,3.6,2.35
M30,Manicouagan,2023-07-06,16:46:00,49.1803980153054,-68.17404398694634,2.03,1.48
M1,Manicouagan,2023-07-05,12:53:00,49.19458296149969,-68.1790510006249,No_Values,1.42
O1,Outarde,2023-07-05,12:58:00,49.02287104167044,-68.44922203570604,2.08,1.12
O2,Outarde,2023-07-05,13:29:00,49.03683696873486,-68.4712680336088,3.24,1.63
O3,Outarde,2023-07-05,13:52:00,49.03553802520037,-68.50919698365033,3.99,1.62
O4,Outarde,2023-07-05,14:04:00,49.02144603431225,-68.52771101519465,1.53,1.35
O5,Outarde,2023-07-05,14:22:00,49.01710798032582,-68.54308904148638,2.04,1.1
O6,Outarde,2023-07-05,14:43:00,49.01387197896838,-68.5832479968667,2.9,1.8
O7,Outarde,2023-07-05,15:05:00,49.041355988010764,-68.49610595963895,1.58,1.32
O8,Outarde,2023-07-05,13:07:00,48.99198,-68.376714,5.38,1.64
O9,Outarde,2023-07-05,13:21:00,49.009631,-68.425301,1.96,0.82
O10,Outarde,2023-07-05,13:34:00,48.996921,-68.46478,1.42,0.55
O11,Outarde,2023-07-05,13:53:00,49.028231,-68.508172,3.67,1.64
O12,Outarde,2023-07-05,14:05:00,49.041794,-68.545626,2.36,2.63
O13,Outarde,2023-07-05,14:30:00,49.061548,-68.529521,2.23,1.56
